Feature,X Importance,Y Importance
left_eye_z,0.543384561282576,0.005035257468395665
chin_z,0.0008744080103166026,0.38003950571037987
right_cheek_z,0.20510191219764226,0.00515522722872253
center_z,0.0013826866475361323,0.11573579244575712
forehead_z,0.0008405786102252912,0.09873955167731611
forehead_y,0.0007657813575158318,0.06977397005495098
center_to_right_eye3,0.013448794283903807,0.04577241679851429
left_cheek_z,0.04457189170117945,0.006953882710901491
right_eye_to_center2,0.023230112147871265,0.021442786132190222
nose_x,0.04093238773447169,0.0014997480659427222
nose_to_image_edge,0.03779353226083891,0.001656653721982207
right_eye_z,0.025740649409751137,0.011456417748159996
left_eye_to_center2,0.02325133406132768,0.009036656397746038
center_to_nose3,0.0007406164065854831,0.020962612130409883
center_to_left_eye3,0.01221052082818507,0.00920931162934021
chin_y,0.0006980329525617147,0.019579628540482702
right_cheek_x,0.0017872834332568937,0.015295002108529904
nose_to_left_eye3,0.0010536299968998165,0.013319400723635457
nose_to_left_eye2,0.000992743150599424,0.013195754639300254
left_cheek_y,0.0009444555678339868,0.01293410183225596
nose_to_center2,0.0007429268261769951,0.011433093399448263
left_cheek_x,0.0016884424708353079,0.010295507988118718
nose_z,0.0013417444093399408,0.008597582314372083
right_cheek_y,0.0009379831251674884,0.00874078396331396
right_eye_to_image_top,0.00024415760622054517,0.007632526674043771
right_eye_to_image_bottom,0.00024749511052870075,0.007472940599265132
right_eye_y,0.0002582767209514575,0.007372814567620917
nose_to_right_eye2,0.0012417779942067734,0.005690831914415246
nose_to_right_eye3,0.0012286569920424905,0.005619962468670797
left_eye_to_right_eye3,0.0009895084322287682,0.005111675779633869
left_eye_to_right_eye2,0.0009733342312759379,0.004968921839343529
left_eye_to_image_bottom,0.00023990461470488474,0.004874339192784476
left_eye_to_image_top,0.00025674005830343894,0.004802409010103979
left_eye_y,0.00027067763514104554,0.004693349636998638
chin_x,0.0016061895417772015,0.0024779955890042492
left_eye_x,0.0014711956776487904,0.001693657966125037
forehead_x,0.0007311453428023541,0.0024003949831727174
left_eye_to_image_edge,0.0014006673002656402,0.0016334262283177671
right_eye_x,0.0010457515250024104,0.0014710035082938712
right_eye_to_image_edge,0.0010353375516911475,0.001445216788531751
nose_y,0.00028033161318528926,0.002135417978482705
nose_to_image_bottom,0.0003019107346966945,0.002104461335222298
nose_to_image_top,0.0002827149523115282,0.0020728346447121664
center_y,0.00021765499460976018,0.0018792217501911812
center_to_image_bottom,0.00022420891298145201,0.0018332376111759813
center_to_image_top,0.0002301089306168075,0.0017953980559629365
center_x,0.00038071402500647,0.0015077866741038195
center_to_image_edge,0.00038453062920224776,0.0014495297736565331
screen_height,0.0,0.0
