nose,left_eye,right_eye,forehead,chin,left_cheek,right_cheek,center,center_nose,center_left_eye,center_right_eye,nose_left_eye,nose_right_eye,left_right_eye,left_image_edge,right_image_edge,screen_width,screen_height,x,y
"(347, 327, -0.041456468403339386)","(372, 293, 0.00035464068059809506)","(321, 292, -0.0015839861007407308)","(347, 252, -11)","(345, 381, 9)","(293, 301, 34)","(398, 302, 36)","(346, 306, 9.70818774088236)",21.02379604162864,29.068883707497267,28.653097563788805,42.20189569201838,43.60045871318328,51.0098029794274,268.0,321.0,1920,1080,1902,90
"(350, 342, -0.045909807085990906)","(378, 303, 0.000798640598077327)","(320, 301, -0.004206751938909292)","(351, 256, -13)","(347, 401, 13)","(287, 310, 36)","(406, 312, 41)","(348, 317, 10.992954583081882)",25.079872407968907,33.1058907144937,32.2490309931942,48.010415536631214,50.80354318352215,58.034472514187634,262.0,320.0,1920,1080,1377,400
"(346, 341, -0.04593663662672043)","(376, 303, -0.0002202745818067342)","(318, 301, -0.0024664204102009535)","(348, 256, -13)","(344, 401, 12)","(286, 309, 38)","(405, 312, 40)","(346, 317, 10.993053809768753)",24.0,33.1058907144937,32.2490309931942,48.41487374764082,48.82622246293481,58.034472514187634,264.0,318.0,1920,1080,1377,400
"(375, 345, -0.04564090818166733)","(397, 305, 0.006567929405719042)","(339, 304, -0.01315613929182291)","(372, 259, -15)","(365, 402, 14)","(296, 310, 28)","(413, 312, 47)","(365, 319, 10.563967268847462)",27.85677655436824,34.92849839314596,30.01666203960727,45.65084884205331,54.56189146281496,58.008620049092706,243.0,339.0,1920,1080,461,486
"(376, 345, -0.0454961322247982)","(397, 306, 0.006313019432127476)","(340, 304, -0.013841353356838226)","(373, 259, -16)","(366, 402, 14)","(296, 310, 27)","(413, 311, 47)","(365, 319, 10.278139361978642)",28.231188426986208,34.539832078341085,29.154759474226502,44.294469180700204,54.56189146281496,57.0350769263968,243.0,340.0,1920,1080,460,486
"(341, 342, -0.046125784516334534)","(371, 300, -0.004814034793525934)","(313, 299, -0.0025027713272720575)","(343, 254, -16)","(342, 399, 15)","(285, 306, 40)","(406, 308, 37)","(343, 315, 10.849508201337553)",27.073972741361768,31.76476034853718,34.0,51.61395160225576,51.31276644267,58.008620049092706,269.0,313.0,1920,1080,1246,128
"(336, 340, -0.04657040536403656)","(368, 299, -0.005098187830299139)","(309, 298, -0.0010222202399745584)","(339, 253, -16)","(337, 397, 15)","(283, 305, 41)","(402, 308, 37)","(339, 314, 10.992472740937956)",26.1725046566048,32.64965543462902,34.0,52.009614495783374,49.92995093127971,59.00847396772772,272.0,309.0,1920,1080,1246,128
"(319, 338, -0.04573744162917137)","(353, 301, -0.010834900662302971)","(296, 300, 0.005128712859004736)","(324, 253, -15)","(326, 399, 14)","(279, 307, 47)","(395, 310, 30)","(327, 315, 10.849793767223932)",24.351591323771842,29.5296461204668,34.438350715445125,50.24937810560445,44.41846462902562,57.0087712549569,287.0,296.0,1920,1080,1617,422
"(318, 338, -0.04580305144190788)","(353, 301, -0.011114132590591908)","(296, 300, 0.0052841599099338055)","(323, 253, -16)","(325, 399, 14)","(279, 307, 47)","(395, 309, 30)","(327, 315, 10.70690956798249)",24.698178070456937,29.5296461204668,34.438350715445125,50.93132631298737,43.9089968002003,57.0087712549569,287.0,296.0,1920,1080,1617,422
"(334, 345, -0.04625418409705162)","(368, 305, -0.007159836124628782)","(309, 303, -0.0013216962106525898)","(338, 258, -17)","(336, 402, 16)","(283, 309, 41)","(402, 312, 35)","(338, 319, 10.706466326223952)",26.30589287593181,33.1058907144937,33.12099032335839,52.49761899362675,48.877397639399746,59.033888572581766,272.0,309.0,1920,1080,981,644
